,Project Name,Package Name,Type Name,Code Smell
0,quartz,org.quartz.jobs,FileScanJob,Unutilized Abstraction
1,quartz,org.quartz.jobs,FileScanJob,Deficient Encapsulation
2,quartz,org.quartz.jobs,NoOpJob,Unutilized Abstraction
3,quartz,org.quartz.jobs,DirectoryScanJob,Unutilized Abstraction
4,quartz,org.quartz.jobs,DirectoryScanJob,Deficient Encapsulation
5,quartz,org.quartz.jobs,MyJobListener,Deficient Encapsulation
6,quartz,org.quartz.jobs,SendMailJobTest,Unutilized Abstraction
7,quartz,org.quartz.jobs,SimpleValidator,Deficient Encapsulation
8,quartz,org.quartz.jobs,SendMailJobRealAuth,Unutilized Abstraction
9,quartz,org.quartz.jobs,SendMailJobAuthTestBase,Unutilized Abstraction
10,quartz,org.quartz.jobs,SendMailJobFakeAuth,Unutilized Abstraction
11,quartz,org.quartz.jobs,DirectoryScanListener,Unutilized Abstraction
12,quartz,org.quartz.jobs,FileScanListener,Unutilized Abstraction
13,quartz,org.quartz.jobs.ee.jmx,JMXInvokerJob,Imperative Abstraction
14,quartz,org.quartz.jobs.ee.jmx,JMXInvokerJob,Unutilized Abstraction
15,quartz,org.quartz.jobs.ee.ejb,EJB3InvokerJob,Imperative Abstraction
16,quartz,org.quartz.jobs.ee.ejb,EJB3InvokerJob,Unutilized Abstraction
17,quartz,org.quartz.jobs.ee.ejb,EJBInvokerJob,Unutilized Abstraction
18,quartz,org.quartz.jobs.ee.ejb,EJBInvokerJob,Deficient Encapsulation
19,quartz,org.quartz.jobs.ee.mail,SendMailJob,Deficient Encapsulation
20,quartz,org.quartz.jobs.ee.mail,SendMailJob,Insufficient Modularization
21,quartz,org.quartz.jobs.ee.mail,MailInfo,Insufficient Modularization
22,quartz,org.quartz.jobs.ee.jms,JmsHelper,Deficient Encapsulation
23,quartz,org.quartz.jobs.ee.jms,SendTopicMessageJob,Unutilized Abstraction
24,quartz,org.quartz.jobs.ee.jms,JmsJobException,Unutilized Abstraction
25,quartz,org.quartz.jobs.ee.jms,SendDestinationMessageJob,Unutilized Abstraction
26,quartz,org.quartz.jobs.ee.jms,SendQueueMessageJob,Unutilized Abstraction
27,quartz,org.quartz.integrations.tests,AutoInterruptableJobTest,Unutilized Abstraction
28,quartz,org.quartz.integrations.tests,AutoInterruptableJobTest,Deficient Encapsulation
29,quartz,org.quartz.integrations.tests,TestInterruptableJob,Deficient Encapsulation
30,quartz,org.quartz.integrations.tests,QTZ225_SchedulerClassLoadHelperForPlugins_Test,Unutilized Abstraction
31,quartz,org.quartz.integrations.tests,DummyClassLoadHelper,Unutilized Abstraction
32,quartz,org.quartz.integrations.tests,QuartzMemoryCronTriggerTest,Unutilized Abstraction
33,quartz,org.quartz.integrations.tests,QuartzMemoryCronTriggerTest,Broken Hierarchy
34,quartz,org.quartz.integrations.tests,JdbcQuartzDerbyUtilities,Deficient Encapsulation
35,quartz,org.quartz.integrations.tests,DerbyConnectionProvider,Unutilized Abstraction
36,quartz,org.quartz.integrations.tests,QuartzDatabsePauseAndResumeTest,Unutilized Abstraction
37,quartz,org.quartz.integrations.tests,QuartzDatabsePauseAndResumeTest,Broken Hierarchy
38,quartz,org.quartz.integrations.tests,QuartzDatabaseTestSupport,Unutilized Abstraction
39,quartz,org.quartz.integrations.tests,QuartzDatabaseTestSupport,Broken Hierarchy
40,quartz,org.quartz.integrations.tests,QuartzDatabaseCronTriggerTest,Unutilized Abstraction
41,quartz,org.quartz.integrations.tests,QuartzDatabaseCronTriggerTest,Broken Hierarchy
42,quartz,org.quartz.integrations.tests,JobDataMapStorageTest,Unutilized Abstraction
43,quartz,org.quartz.integrations.tests,JobDataMapStorageTest,Broken Hierarchy
44,quartz,org.quartz.integrations.tests,StdRowLockSemaphoreTest,Unutilized Abstraction
45,quartz,org.quartz.integrations.tests,StdRowLockSemaphoreTest,Broken Hierarchy
